id,mission_reward_id,reward_type,reward_id,reward_num,icon_type
964,56011570,15,10201570,1,1003
965,56011570,8,91002,50,0
966,56011571,15,10201571,1,1001
967,56011572,15,10201572,1,1002
968,56011573,15,10201573,1,1003
969,56011573,8,91002,50,0
970,56011574,15,10201574,1,1003
971,56011574,8,91002,100,0
972,56011575,15,10201575,1,1001
973,56011576,15,10201576,1,1002
974,56011577,15,10201577,1,1003
975,56011577,8,91002,50,0
976,56011578,15,10201578,1,1001
977,56011579,15,10201579,1,1002
978,56011580,15,10201580,1,1003
979,56011580,8,91002,50,0
980,56011581,15,10201581,1,1001
981,56011582,15,10201582,1,1002
982,56011583,15,10201583,1,1003
983,56011583,8,91002,50,0
984,56011584,15,10201584,1,1001
985,56011585,15,10201585,1,1002
986,56011586,15,10201586,1,1003
987,56011586,8,91002,50,0
988,56011587,15,10201587,1,1001
989,56011588,15,10201588,1,1002
990,56011589,15,10201589,1,1003
991,56011589,8,91002,50,0
992,56011590,15,10201590,1,1001
993,56011591,15,10201591,1,1002
994,56011592,15,10201592,1,1003
995,56011592,8,91002,50,0
996,56011593,15,10201593,1,1001
997,56011594,15,10201594,1,1002
998,56011595,15,10201595,1,1003
999,56011595,8,91002,50,0
1000,56011596,15,10201596,1,1003
1001,56011596,8,91002,100,0
1002,56011597,15,10201597,1,1003
1003,56011597,8,91002,100,0
1004,56011598,15,10201598,1,1003
1005,56011598,8,91002,100,0
1006,56011599,15,10201599,1,1001
1007,56011600,15,10201600,1,1002
1008,56011601,15,10201601,1,1003
1009,56011601,8,91002,50,0
1010,56011602,15,10201602,1,1001
1011,56011603,15,10201603,1,1002
1012,56011604,15,10201604,1,1003
1013,56011604,8,91002,50,0
1014,56011605,15,10201605,1,1003
1015,56011605,8,91002,100,0
1016,56011606,15,10201606,1,1001
1017,56011607,15,10201607,1,1002
1018,56011608,15,10201608,1,1003
1019,56011608,8,91002,50,0
1020,56011609,15,10201609,1,1001
1021,56011610,15,10201610,1,1002
1022,56011611,15,10201611,1,1003
1023,56011611,8,91002,50,0
1024,56011612,15,10201612,1,1001
1025,56011613,15,10201613,1,1002
1026,56011614,15,10201614,1,1003
1027,56011614,8,91002,50,0
1028,56011615,15,10201615,1,1003
1029,56011615,8,91002,100,0
1030,56011616,15,10201616,1,1001
1031,56011617,15,10201617,1,1002
1032,56011618,15,10201618,1,1003
1033,56011618,8,91002,50,0
1034,56011619,15,10201619,1,1001
1035,56011620,15,10201620,1,1002
1036,56011621,15,10201621,1,1003
1037,56011621,8,91002,50,0
1038,56011622,15,10201622,1,1001
1039,56011623,15,10201623,1,1002
1040,56011624,15,10201624,1,1003
1041,56011624,8,91002,50,0
1042,56011625,15,10201625,1,1003
1043,56011625,8,91002,100,0
